file,fat tree,rail only,HyperX,DragonFly+
gpt_22B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,237398124920832,237398124920832,118764695715840,237583886450688
gpt_22B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1413391970230272,1413391970230272,706980301516800,1414216742363136
gpt_22B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,797116375506944,797116375506944,398683773079552,797393287651328
gpt_22B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,489618645712896,489618645712896,244849931059200,489752087494656
gpt_22B-world_size512-tp8-pp16-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,303745819213824,303745819213824,151915834638336,303886169014272
gpt_22B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,332171902476288,332171902476288,166544236228608,335194594762752
gpt_22B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,183537267384320,183537267384320,91963397115904,184391068295168
gpt_22B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,111633453023232,111633453023232,55924817657856,111924646772736
gpt_7B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,716820684259328,716820684259328,358616801370112,717973874589696
gpt_7B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,416233612656640,416233612656640,208248896626688,416629647228928
gpt_7B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,250253614776320,250253614776320,125226468507648,250438625525760
