file,fat tree,DragonFly+,HyperX
gpt_7B-world_size1024-tp4-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1462606233600,1535736545280,1261497876480
gpt_22B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,786117427200,1965293568000,1277440819200
gpt_22B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,795818852352,1691115061248,1293205635072
gpt_175B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,749916389376,1687311876096,1312353681408
gpt_22B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,880891920384,2202229800960,1376393625600
gpt_175B-world_size4096-tp8-pp32-ep1-gbs16384-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,901288820736,1915238744064,1408263782400
gpt_22B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,904837201920,1922779054080,1470360453120
gpt_22B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,824621137920,1855397560320,1494625812480
gpt_13B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,959121981440,2397804953600,1558573219840
gpt_13B-world_size512-tp16-pp2-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_dp_only,890398310400,2003396198400,1613846937600
gpt_13B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,978635980800,2079601459200,1620865843200
gpt_13B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,911789260800,2051525836800,1652618035200
llama_65B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_dp_only,1065269329920,2663173324800,1731062661120
llama_65B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_dp_only,1078137454592,2291042091008,1751973363712
gpt_7B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1065269329920,2263697326080,1764352327680
llama_65B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_dp_only,1024869793792,2305957036032,1793522139136
gpt_13B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1023420661760,2302696488960,1822968053760
gpt_7B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1322630774784,2939179499520,1836987187200
llama_65B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_dp_only,1116607610880,2512367124480,1954063319040
gpt_7B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1208815190016,2568732278784,1983212421120
